source,layer,license,license_url,license_sha256,attribution,notice,share_alike,commercial_use,redistribution,declared_use,dataset,fetched_at
clinvar,annotation,public-domain,https://www.ncbi.nlm.nih.gov/clinvar/docs/maintenance_use/,,"ClinVar, NCBI (https://www.ncbi.nlm.nih.gov/clinvar/)","US-government work, no copyright asserted. NCBI asks that ClinVar be cited and states the records are submitter assertions, not a clinical diagnosis.",false,true,true,unstated,,2026-08-03T23:49:50Z
ensembl,resolution,Apache-2.0,https://www.ensembl.org/info/about/legal/disclaimer.html,,Ensembl (https://www.ensembl.org),,false,true,true,unstated,,2026-08-03T23:52:03Z
