source,layer,license,license_url,license_sha256,attribution,notice,share_alike,commercial_use,redistribution,declared_use,dataset,fetched_at
clingen,gene_validity,CC0-1.0,https://clinicalgenome.org/docs/terms-of-use/,,"ClinGen (https://clinicalgenome.org), accessed via the gene-curation list",CC0 public-domain dedication; attribution requested but not required.,false,true,true,unstated,,2026-08-13T23:43:39Z
clinvar,annotation,public-domain,https://www.ncbi.nlm.nih.gov/clinvar/docs/maintenance_use/,,"ClinVar, NCBI (https://www.ncbi.nlm.nih.gov/clinvar/)","US-government work, no copyright asserted. NCBI asks that ClinVar be cited and states the records are submitter assertions, not a clinical diagnosis.",false,true,true,non_commercial,clinvar_2026-06-27,2026-08-13T23:42:26Z
clinvar,clinical_assertion,public-domain,https://www.ncbi.nlm.nih.gov/clinvar/docs/maintenance_use/,,"ClinVar, NCBI (https://www.ncbi.nlm.nih.gov/clinvar/)","US-government work, no copyright asserted. NCBI asks that ClinVar be cited and states the records are submitter assertions, not a clinical diagnosis.",false,true,true,unstated,,2026-08-13T23:43:40Z
clinvar,resolution,public-domain,https://www.ncbi.nlm.nih.gov/clinvar/docs/maintenance_use/,,"ClinVar, NCBI (https://www.ncbi.nlm.nih.gov/clinvar/)","US-government work, no copyright asserted. NCBI asks that ClinVar be cited and states the records are submitter assertions, not a clinical diagnosis.",false,true,true,unstated,,2026-08-13T23:43:11Z
gnomad,frequency,CC0-1.0,https://gnomad.broadinstitute.org/policies,,"gnomAD, Broad Institute (https://gnomad.broadinstitute.org)","CC0 public-domain dedication for the primary exome/genome data; attribution requested but not required. Users agree not to attempt to reidentify participants. Some layered annotations carry their own terms (SpliceAI is CC BY-NC 4.0, academic/non-commercial).",false,true,true,unstated,,2026-08-13T23:43:30Z
gnomad,gene_metrics,CC0-1.0,https://gnomad.broadinstitute.org/policies,,"gnomAD, Broad Institute (https://gnomad.broadinstitute.org)","CC0 public-domain dedication for the primary exome/genome data; attribution requested but not required. Users agree not to attempt to reidentify participants. Some layered annotations carry their own terms (SpliceAI is CC BY-NC 4.0, academic/non-commercial).",false,true,true,unstated,,2026-08-13T23:43:31Z
