gene,gene_id,disease_id,disease_label,moi,classification,classification_raw,classification_date,submitter,assertion_id,report_url,dataset,source,status,fetched_at
PALB2,HGNC:26144,MONDO:0012565,Fanconi anemia complementation group N,autosomal_recessive,definitive,Definitive,2019-08-18T16:03:12Z,Hereditary Cancer Gene Curation Expert Panel,CGGV:assertion_3ebabbf1-1a43-4a57-b0b8-2b29bb57ade1-2019-08-18T160312.829Z,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_3ebabbf1-1a43-4a57-b0b8-2b29bb57ade1-2019-08-18T160312.829Z,clingen_gene_validity_2026-08-13,clingen,resolved,2026-08-13T23:43:39Z
PALB2,HGNC:26144,MONDO:0700272,PALB2-related cancer predisposition,autosomal_dominant,definitive,Definitive,2024-08-29T17:00:00Z,Hereditary Cancer Gene Curation Expert Panel,CGGV:assertion_b067d463-b881-4f67-b3a6-2924903fc119-2024-08-29T170000.000Z,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_b067d463-b881-4f67-b3a6-2924903fc119-2024-08-29T170000.000Z,clingen_gene_validity_2026-08-13,clingen,resolved,2026-08-13T23:43:39Z
